text,tweet_ids,sentiment1
@ANCALERTS Sa mga nagsasabi na ROBREDO-TRILLANES ang dapat maging tandem.  Labas po sa twitter. Hindi makakatulong si Trillanes kay Leni para makabuo ng malawak na coalition.  Imbes na ma-expand ang base.  Ma-limit lamang nito ang base na malabong manalo sa general election.,['1440222023033057280'],1
"@ABSCBNNews Tangina kung tatakbo, tatakbo. Akala ko ba VP ka at nanalo ka talaga last election? Bakit parang takot ka ngayon? """,['1441400119694295042'],1
"@hiram_ryu @PinoyAkoBlog Hala... Palibhasa magnanakaw sya, kaya ang magnanakaw takot sa kapwa nya magnanakaw. Kawawang Pilipinas, kapag may nanalo pa sa kaalyado nya ngayong darating na eleksyon, hindi na sya ang may problema mga tao na or may matinding dayaan na talaga.",['1438524255516311562'],1
"@iamtix95 Tingin ko hindi yung dami ng boboto kay VP Leni ang magiging problema natin, kundi yung magiging dayaan sa eleksyon. Remember, si Dennis Uy - negosyanteng galamay ni Duterte ang may hawak ng kontrata ng mga machine sa COMELEC",['1440927089973104649'],1
@inquirerdotnet @GabrielLaluINQ ang takot po yung panic mode na sa darating na eleksyon,['1441604470362697732'],2
"(1/2)

Nagkaroon ng meeting ang Partido Reporma at Partido ng Demokratikong Pilipino-Laban’s (PDP-Laban) faction ni Sen. Manny Pacquiao upang pag-usapan ang posibleng pagsasanib-puwersa ng dalawang partido para sa 2022 election. https://t.co/fM9syIQTFW",['1438740758715011073'],2
@cnnphilippines TATANGA NIYO NAMAN BALIK GCQ KAHIT SUPER DAMING CASES?KAHIT GRADE 1 ALAM NA PAG GINAWANG GCQ MAS DADAMI LALO CASES. TANGA BA KAYO OR SOBRANG TANGA? MNL GCQ PERO DUN MARAMING CASES? WE WILL NEVER BOUNCE BACK BECAUSE OF YOUR DUMB STRATEGIES. ELECTION OVER FILIPINOS HEALTH. YUCK. 🤡,['1434776124471402497'],1
"@LakasNgTimog surveys - lamang sa surveys, talo sa election😂.
youtube - sa dami ba naman ng trolls ni bbm. 
utak - taena ni hindi nga college graduate yan si bbm.
plataporma - weh? magnanakaw lang yan. 
2016 election - nag-recount na. talo si bongbong.",['1439341058869972997'],1
Pinaglalaban tayo ni VP Leni kaya ipaglaban din natin sya sa Halalan 2022!! Tara na samahan sya mag martsa papuntang malacañang! #LabanLeni2022,['1440575059463065604'],0
"@sejoalzir @SaintDenise4 @1Sambayan @barrygutierrez3 first wife ni pulong ay muslim,pero nanay niya ay jewish, ang gulo ng pamilya ah.
galit din siya sa nanay niya?
parang si duts na dilawan ang ina pero siya ay pumanig sa marcos in secret nung eleksyon ng 2016.
walang prinsipyo, gamitan lang ng mga grupo.",['1442340564993658885'],1
"#HATOLNGBAYAN2022 : Nanawagan si dating senador Antonio Trillanes IV kay Vice President Leni Robredo na magdesisyon na sa plano nito para sa Halalan 2022.
https://t.co/znLCs7wOWm",['1441033267625431042'],2
HINDI AKO PUMILA SA COMELEC PARA PAGPILIAN SI ISKO AT SI PACQUIAO KAYA LENI PLS LANG,['1440570506583810052'],1
Making my body strong kasi Pacquiao might make my bayot ass his punching bag kung sakaling manalo siyang presidente sa eleksyon,['1439759479277449219'],1
"Bakit kapag nagtetrending si VP Leni, asahan mong may magsasabi nang hindi naman sa socmed madedetermine kung sinong mananalo sa eleksyon?

Like.. hello? Palagay niyo di namin alam yan? Nagpapakita lang ng support parang kasalanan na sainyo. 😅",['1441359407690907655'],1
@isabelmerana E anu ba nginangawa mo kung hindi ka naman pala naniniwala mataas?takot?malapit na mag election iboto nyo na lang ang gusto nyo para masatisfy kaya.mag 6yrs na buti hindi pa kayo inaatake sa sama ng loob nyo.,['1440498770492284936'],1
"Jusko ung tawa ko. 🤣🤣🤣 Pero mga Direk, kaya ba today ung letter? 😂😂😂 Excited na ko sa merch! Sana sooner than later. Yes, demanding ako. 🤣✌️ Lab you mga direk. Matagal na rin akong registered voter at walang mintis sa pagboto tuwing eleksyon. #AngWalangKwentangPodcast https://t.co/Z2WpkhhlUA",['1441249775228125197'],0
"@bongbongmarcos Mga ka DDS full support tayo kay sir BBM, para sa darating na election! Ito lang yong paraan na ipakita natin sa kanya na bumalik ang ating tiwala sa pamilya nila, sa ilang dekada natin na nawala dahil nalinlang tayo! GAWIN NATIN KONG ANO ANG TAMA! #LabanBBM2022 https://t.co/HDjxFZ1eLH",['1439606964422529024'],0
@boyantingasngas Gawain ni tito sen yan tuwing election yan ang secret magic nya eversince bigla nagiging host ng EAT BULAGA everyday present 😏,['1438697447333646336'],1
"Kawawa naman si Madumb Leni. Kailangan nyang ibenta sarili nya para mapili ng opposition. 

Kahit opposition man yan sila eh may idea nadin sila who has better chances to win the election. Wag ka na mangarap Leni. 

Diokno nga eh ayaw na umanib sa inyo eh.",['1438997946813464576'],1
pag nanalo sa susunod na halalan si leni robredo magiging pangalawang beses na niya sa pagiging mabuting pangulo,['1440903110868693000'],0
"Poe, first choice ni Isko bilang running mate sa Halalan 2022
https://t.co/ic2kcAJsQy https://t.co/BNAe10I77t",['1440536143645143041'],2
"not surprised kay isko PERO HAUHAUHAUA PUTA WILLIE ONG??? AMP AHAHAHAHAHAHAHAH HAHAHAHAHAHAHAHAAHAHAHAH 

DAWHO BA ITO MALIBAN SA ANG BABA NAMAN NIYA LAST ELECTION",['1440274700089790471'],1
"#RondaAtleta #SportsAndPolitics | Matapos mabigo sa laban kontra Yordenis Ugas nitong Agosto, susubukan ni 8-division world champion at Senator Manny Pacquiao ang kanyang malaking hamon bilang kandidato sa pagkapangulo ng bansa sa eleksyon sa 2022.

https://t.co/Ydo7BHpiiH https://t.co/nWtOWxOEEc",['1439522270184030214'],2
@LakasNgTimog Naku lagot na...Kumampi na si Ong sa mga NPA....Alam na...Inidoro ka kasama si Ka Isko sa Eleksyon 2022...🤣😂,['1440275754487476224'],1
Imagine kung tatakbo si vp leni sa presidency and matatalo niya ulit si bbm next election imagine the collapse 🤭 https://t.co/nG038qgqx5,['1438789768704188424'],0
@nonariztocrat Last presidential kemerut election si bbm ata dala diba? Jusko sana naman this time mag go na kayo kay leni🥺,['1440663212911849483'],0
"Expect na natin na uulan ng pera sa election. 

Sa amin ang mga kabataan may mga slogan na.

""Tanggapin ang pera, iboto ang konsensiya""

Reason nila kung di daw nila tatanggapin, ibibigay din naman daw yun sa iba.  Tatanggapin nila pera ng mga DDS local candidate pero Leni sila.",['1437219945817935873'],2
Kapag ba BBM binoto mo sa eleksyon Marcos Apologist na? Hahahaha,['1440874779649581059'],0
@marckirstie1 Nsa tao talaga ang problema walang takot sa covid dito sa min ngayon may pabirthday syempre may inuman/gathering khit anong bawal sa mga yn wala silang https://t.co/qzhrXiKeMy umaga dami nakakalat n mga bata sa kalsada.yung mga oposisyon sinasamantala nila yn lapit n eleksyon,['1437027237065158657'],1
"@SaintDenise4 @agot_isidro @lenirobredo Hindi ko iboboto si Leni dahil nanahimik siya ng tatlong taon. Kung talagang sa tingin niya ay may katiwalian, dapat lumaban na siya noon pa man (kung talagang may paninindigan). Ano ang pag-iingay niya ngayon? Para sa paparating na eleksyon? Hindi gano’ng lider ang deserve natin",['1440572952919961604'],1
@rapplerdotcom Takot na sya sa election?,['1434233134086692864'],2
Hahaha nyetang to! Tawang tawa ko hahaha ayan na mga kapinas ayan na mga slogan sa susunod na eleksyon hahah https://t.co/8Rx78UYuti,['1442430116462739457'],0
"hahahahaahahahha umiiyak ako raynao kasi si mayora sinuhulan na ako para siya iboto ko sa eleksyon (chour) 🥺🥺🥺🥺 kenma haver na pi aq huhuhuhhu iyak mga pipty

tnx @notiwaoi sa pag-sponsor huhuhu nde na kita ib-bully 🥺🥺🥺🥺🥺🥺

p.s. hinihintay ko pa rin yung hugasin niyo",['1442834781973012485'],0
"@oslecjunior Obviously di sya nanonood ng NatGeo at Discovery Channel, yan nagagawa ng eleksyon, nag iiba bigla stand nila 😏",['1440254496139927558'],1
@sorbetero Tanga ka Isko. Panung pinagmana? Kaya nga may election di ba? Jusko! Nagmamagaling ampots!,['1439304792812277760'],1
"Pakiusap po. Marcos, Moreno, at Pacquiao ba ga naman choices. Baka all of the above mapili ko sa halalan sige ka HAHA https://t.co/torjituili",['1441358169502932998'],1
"Hello @1Sambayan never naging oposisyon si Isko at Pacquiao. Ngayon lang yan bumabaliktad dahil eleksyon na. But for 5 yrs, they have been enablers and supporters of this administration. Kailangan niyo pa talaga isipin kung sino ipambabato niyo? 🤦‍♂️ #LetLeniLead",['1441262484648697858'],1
skl binabantayan ko yung color map nung election 2016 tas sabi ko yes Leni sa pampanga then someone pointed out tarlac pala tinitignan ko 😭 dumb af https://t.co/5you2iiDuM,['1437024652283432962'],1
@ABSCBNNews Nakakaloka yung move ni isko pero mygas mas nakakaloka kay willie ong .... di nga lumaban yung votes niya nung huling election tas he wish to win a very hard to win position hahahah di pa ata nagmamayor or barangay captain yan eh haha,['1440290645390725127'],1
Hay naku!! Leni... Paulit ulit lang mga salita mo!  Umay na umay na talaga!   TUMAKBO ka na para malaman mo kung paano ka ilalampaso  sa halalan. nakakaBOBA ka talaga! 😝😝🙄🙄😛 https://t.co/aun4VPscLe,['1439594357967896583'],1
Maiiyak ata ako pag di tumakbo si Leni. Lalangoy na ako sa Pacific Ocean after election.,['1440523396282863617'],1
"@alexisbromero @helenmflores Roque on Sen. Pacquiao's decision to run for president: Wala po, karapatan niyang tumakbo sa eleksyon. Di ko lang alam ano desisyon ng Comelec kung sino magdadala ng pangalan ng PDP-Laban. | @alexisbromero 

LIVE: https://t.co/2pOcI4FKd0",['1439817086327394304'],2
@MannyPacquiao @_katrinadomingo Quiboloy's camp says P100-M libel case part of Pacquiao's 2022 election propaganda https://t.co/3mSgifpOMG,['1437726568596578306'],2
"Ang claim ng mga Marcos apologists, mayaman daw ang mga Marcos at di kailangang magnakaw... So nasaan sila sa gitna ng pandemya? If they're really for public service, hindi lang ngayong malapit na ang eleksyon nag-iingay, especially BBM.",['1439036407893282818'],1
"@LoVe_MeOw_24 @bongbongmarcos Mga ka DDS full support tayo kay sir BBM, para sa darating na election! Ito lang yong paraan na ipakita natin sa kanya na bumalik ang ating tiwala sa pamilya nila, sa ilang dekada natin na nawala dahil nalinlang tayo! GAWIN NATIN KONG ANO ANG TAMA! #LabanBBM2022",['1439607084991926272'],0
@MannyPacquiao sigurado akong  dito ka mananalo kay BBM sa patalbugan ng kaso ng cyber libel dahil hindi pa naumpisahan ang eleksyon 2022 nag-umpisa ka na kay Quiboloy. Para kang batang paslit na nagtatampisaw ng iyak dahil sa panunukso ng mga kalaro 😂 PATHETIC! https://t.co/9jyilKDWaP,['1439106933890367488'],1
@iammarlonramos galit na galit si bakla sana atakihin..wag ito iboto sa susunod na election,['1436203648149712900'],1
"@kulotsalot3000 Dabest part, kagaganyan nila mukhang masasideline pa Leni nila sa 2022 election lol. Na kagagawan nila haha

Ala nga namang ibintang na naman nila sa 16 million yan",['1440340352875991050'],1
"@rryyyaaaannnn Mga damuho din ano, alam na this hahahaha galit daw sa corrupt no, pang election pala yung bayad",['1437301685940981764'],1
Nakakalungkot isipin na si Papa naniniwala pa rin na dinaya si BBM ni Leni. I explained to him that the election protests of BBM were junked already by PET (Presidential Electoral Tribunal),['1439574958926176263'],1
"@ryan_bernard_ Si BBM tulad sa tatay ni Toni, OLAT sa last eleksyon.",['1439342655641559043'],1
"@orjyyyyy ""takot ba sila sa mga new voters"" TANGA. Since before pandemic pa bukas ang registration AND they've been promoting it since. 'Wag isisi sa COMELEC ang katamaran niyo na ginagawa lang naman ay sumunod sa protocols. Kakapal ng mukha.",['1442408596222853125'],1
@gmanews inutil na senador papadama namin sa inyong mga dilawan ang galit namin sa eleksyon 2022 sa inidoro lahat ang bagsak nyo,['1443677740784394245'],1
"@pnagovph Kakaiba! Panahon ng eleksyon pero wala takot magsalita sa mga issues. May alam ka ba? Parang nakakasiguro ka na mananalo sa pagka senador. Bawal dayaan, huy.",['1437201362211594242'],1
"Parang joke yung election:

P: Lacson, Pacquiao, Isko
VP: Duterte, Sotto, Doc Willie Ong 😱

Walang mapili nakakaloka",['1440276580152975375'],1
@loidasandiego77 Lawmakers want budget hike for Leni daw. Sino kaya mga lawmakers yun kundi mga Makabayan bloc at Yellowebaks. Taasan daw budget para magamit for election campaign mga animel,['1436963948503322625'],1
Isko ba ang #TraPoe ngayong eleksyon?,['1440269720712712205'],1
"YES 1SKO o Young Entrepreneurs Supporting 1SKO, nanawagan na lumaban na si Manila Mayor Isko Moreno, bilang Presidente sa susunod na halalan. Ayon grupo si Moreno ay may mahusay na Track Record para patakbuhin ang bansa sa gitna ng pandemia @News5PH @onenewsph",['1438691520991793155'],2
Isko election ka ticket chahiye. https://t.co/zXsR8Z6QNd,['1441082717983051781'],2
Isa pa itong ungoy nato na sinasayan lang ang pera ng taongbayan. Sa tinagaltagal ng imbestigasyon na ginagawa nila wala parin silang nakikitang anomalya. Sa ngalan lang talaga ng eleksyon. https://t.co/WW5033wAB8,['1439364437534666755'],1
@pinoyanghang @bongbongmarcos Ayaw kc bigyan ng khit anong momentum ng mga dilawan at komunista si BBM kc nga KANGKONG yng mga pambato nila s eleksyon.,['1438713288490061825'],1
Aling paksyon nga kaya ng PDP-Laban ang kikilalanin ng Comelec? Ang grupong suportado ni Pangulong Duterte o ang pinamumunuan ni Sen. Manny Pacquiao na nagdeklara nang tatakbo sa pagkapangulo sa #Halalan2022? https://t.co/LHNVBIrmcL,['1439918763554443277'],2
"Grabe yung anxiety galit ko nung gabi ng eleksyon nung 2016. Di ako nakatulog gat lamang si b/obongm.

Anlayo pa ng eleksyon nayayamot na agad ako. Tang ina nung mga nagsasabing ""gising na ang mga Pilipino"". Ang kakapal ng mukha para baguhin ang narrative.",['1440533059158228992'],1
@LakasNgTimog The way magsalita si isko mukhang sigurado sigurado na sya ang mananalo presidente he has plan already once na maupo sya sa malakanyang. Is it planado na din ba ang magiging dayaan sa 2022 election with the help of oligarch and npa????,['1441314573475221507'],1
"Bilis kilos! Tambalang Isko Moreno-Willie Ong, inanunsyo na ang kandidatura sa halalan 2022

Panoorin: https://t.co/R4SGMhkISJ https://t.co/VLVbypeiHm",['1440935577096843268'],2
@jrdreyes @YearoftheMonSy Utusan mo pa ako na ikaw nga mismo nakapako jan sa kasinungalingan na gawa2x ng mga amo nyo. Pag manalo si BBM sa election nextyear٫ihanda nyo na timba para isahod sa mga luha nyo. 😜😜😜,['1438908458795814913'],1
"JUST IN: VP Leni Robredo, nais na muling makalaban si dating Sen. Bongbong Marcos sa halalan 2022, ngunit ito ay nakadepende sa magiging resulta ng unity talks sa oposisyon. | #DZXL558 https://t.co/Pi8YSJ4kxK",['1438771131532468226'],2
Naniniwala si Manila Mayor Isko Moreno na dapat ay bukas ang mga opisyal ng gobyerno na ipakita sa publiko ang kanilang SALN. Wala rin aniya siyang nakikitang sakaling maging bise presidente niya si Pangulong Duterte kung pareho silang mananalo sa halalan. https://t.co/xQ6t0Q2DSC,['1441477537088131074'],2
@DDSBBM BBM and DUTERTE Tandem on 2022 Election 100% Win si Pacquiao zero Vote sa DDS palang inidoro deretsu mo Ugok puppet nang mga LP Corrupt Politician dito kana babalik sa hirap BOBO Pacquiao👊👊👊✌️✌️✌️🇵🇭🇵🇭🇵🇭,['1439920714413273098'],1
@jhngbrlblmb Andito ng aantay sa election n evote si bbm.,['1440622793872195593'],0
Pwede bang mag independent si Leni!? Shet ang papangit ng choices ng Presidentiables next election. 😢,['1439545139806937088'],1
@teamrobredoph kaya pala hindi tumakbo si sara kasi tatakbo si bbm tapos vp ung ama. kung tatakbo si sara mahahati boto ni bbm or sara. tapos next election si sara naman ang tatakbo if my observation is correct. kaya dapat si Leni ang manalo para maputol ang maitim na plano ng mga sugapa.,['1439106312189591552'],1
"@MaamSyj Ndi na presidential election, star magic audition na ang nangyari. Pota! We're doomed pag Duterte or BBM ang mahalal.",['1440280796833599494'],1
@GisingPilipino @Jeymstejada95 @ogie_rosa of courses nag eenjoi kame. 5years n kayong umeefort mag oust duterte pero walang nangayre matatapos n lng ang term hahaha. . lage p kayo talunan sa eleksyon kaya happy kami sa pighati nyo. .iyak mga talunan,['1439560711739363335'],1
"@rapplerdotcom Regardless kung iinterviewhin ni Toni si BBM or not, nasa tao naman ang desisyon kung sino iboboto nila sa Election. So views na ba nakabase ang boto ngayon? Tatanga ng mga to. feeling entitled at woke amp.",['1438144109869371392'],1
"So sa paningin niyo pala may hidden agenda ‘yung interview kay BBM? Lol, ganito na ba kayo ka-desperate at takot na mawala na ang mga kulay dilaw sa gobyerno? INTERVIEW ‘YON HINDI ELECTION CAMPAIGN!! Iyak kaagad eh.",['1438143977077624838'],1
@acedapogi @COMELEC Recent lang nag register ako sa irehistro.. printed everything then bigla on site need daw to fill out the hard copy kasi un qr code is not working... parang WTH.. paurong talaga tayo.. 2021 na hand written pa din mga registration forms... dba dba,['1443138521426894854'],1
@arisjhon5 diring diri nga aq sa sarili ko b4 mgstart election bcos i think that they’re cool (pls i was so naive and bobo) POTAHHHHH AHHAJSHSJSJSS CHARACTER DEVT NAMAN DIN SANA IBA OH,['1440157617901346819'],1
thanks rold kasi isa lang talaga kukumbinsihin kong huwag iboto si pacquiao as president sa 2022 election 👹,['1439587441006940164'],1
"@GaudiQuiballo Kung pinal na po ito at hindi matuloy ang consensus-building, talagang uphill battle for Leni kung tuloy din yung tatakbo sya. Malaking hamon kay Leni paano i-seize ang center of gravity ng election with a compelling agenda and coherent political straregy.",['1439527278942117891'],1
"mabuhay ang mga troll!!! 👏

special mention lagi ang trolls. they will play a big role in the 2022 election campaign. doubtless.

kaya nga parang mga trolls na rin ang mga reporter ni @rapplerdotcom &amp; @ABSCBNNews.

pati ito @richeydarian parang certified troll ni vp leni. 🤣 https://t.co/zEKu9VyvOj",['1440519930839928836'],1
Tawang tawa ko dun sa election officer HAHAHAHAHA “wag na wag mo iboboto si Duterte ah” HAHAHAHAHAAHAHAHAHA,['1438721625805910017'],0
"Robredo camp mum on Eleksyon 2022 plans even after Isko, Pacquiao bared presidential bids https://t.co/43uVoozdRP",['1440637742191284233'],2
"@kalakumag Hayahay lang sa white sand Island habang pandemya, now bigla labas mag eleksyon at makaka help daw sya.£$¢€¥🐊",['1443763894841978882'],1
VP Leni Robredo umaasang magkakaisa ang mga anti-admin candidates sa election 2022. https://t.co/bUEu8x2mhC,['1441187635146330116'],2
"Sen. Manny Pacquiao, kumpirmado nang tatakbo sa pagkapangulo sa halalan sa susunod na taon https://t.co/5N2TU22WEj https://t.co/bSrTKFFDLk",['1439738713257299970'],2
"@k_aletha I have a feeling Leni is still banking on Smartmatic. Wag tayo pakampante, marami pa rin dilawan dyan sa COMELEC.",['1438868309198262281'],1
@joshravan @MisterSinBad Pray Harder lang kayo ha! Baka kasi hindi na magsuccess pandaraya ni Leni sa 2022 pinatalsik na sj Andi Bautista sa Comelec 😂🤣,['1437385605864853515'],1
"Si Isko Moreno ang Grace Poe version ngayon 2022 Presidential election. Puta sana matuto na ang mga pilipino sa hirap na dinanas under duterte administration. 

#DapatSiLeni #Halalan2022",['1440336694591430659'],1
"Dear COMELEC,

If in case na hindi tatakbo si VP @lenirobredo sa 2022, tapos mga katulad lang din naman nina Pacquiao, Bong Go, Marcos, at Quiboloy ang tatakbo, pwede bang maglaan po kayo ng ishe-shade na bilog para sa NOTA. 

Opo, NOTA na lang iboboto ko. NONE OF THE ABOVE.",['1441382385946271750'],1
"do y'all know how much shortcoming Pacquiao has as a senator of this country?? tapos napaka lakas ng loob niya to run for a President position?! pag siya pa ang nanalo sa election putangina idk anymore, i might as well leave to mars, ang sahol ng kabobohan ng mga boboto diyan",['1439565580919459848'],1
"@PhilippineStar @PaoloSRomero Sunod, baka ipa extend ng senado ang filing ng kandidatura sa comelec, nalilito pa kasi si Aling Leni nila at hindi pa handa mag file sa deadline na oct 8.🤨🤨",['1440931116089700354'],1
"@cnnphilippines @laratyan Ang saya ng election sa Pinas 🙃.
Tapos may Bong Go at Sara pa.
Tiba-tiba LGU officials nyan.",['1441255237482803212'],1
Sabi ni Mayor Sarah di na daw sya tatakbo sa national election pero uung kabila dipa rin maitago ang takot e 😂 @dawende 😬😬 https://t.co/rGobrTjOMU,['1435885544207093763'],1
"May FB friend akong pinu-push pa rin ng real VP si BBM. 

SISWANG, TUMIGIL KA NA. ELEKSYON NA NEXT YEAR!!!! TRY AGAIN NA LANG.",['1441201600840683521'],1
@NoliEala uhmm parating ECQ or MECQ so sarado usually Comelec? at takot mga tao na mahawaan sa pila? I get po your point pero kailangan natin tingnan sa lahat ng perspektibo kung bakit ganito ang nangyayari. Natimingan niyo lang siguro na walang pila pero parating mahaba ang pila noon pa.,['1441260975684915214'],2
"Kung hindi tatakbo si VP Leni sa susunod na eleksyon, pwede bang magtime travel na lang sa taon kung kailan maayos na ulit ang Pilipinas at si Vico Sotto na ang pangulo. 😂😭
#LabanLeni2022",['1440845076213633035'],1
"tatakbo pala vice presidente si dutae,Sino mga kalaban niya sa vice pres?sotto ,Ong and ?
Sana may Isa pa tatakbo vice presidente na kilala tlg sa publiko,like Leni..if c dutae mananalo sa eleksyon,kailan Kaya balik dati ang pinas?at kailan makakasundo Ang pres at vice?",['1440573841185464320'],1
"In short, takot kayong manalo si Marcos sa susunod na Election kaya binubuhay nyo ulit ung Martial Law.🤔 
2021 na po, masyado naman kayong nabubuhay sa nakaraan. https://t.co/6xKlzcmVXl",['1441405313999982592'],1
"tawang tawa pa rin ako sa election kanina, may nagreply sa banat ko🤣",['1435505216770641921'],0
@Rjayryaj @mc_do @iamsuperbianca Pansin nyo naglabasan ang paninira sa Marcos lalo ngayong Election takot kasi silang manalo ang Marcos 😂,['1440618662507909137'],1
"Bakit naman kasi ibabase ang boto sa winnability.

Eleksyon ito para sa pamamahala ng Pilipinas, hindi OTB. 

Bukod sa capability, dapat may integrity, at lahat ng matinong “ity” na nakay Leni.

#DapatSiLeni https://t.co/ySzVi2zEgV",['1440538878784335880'],0
"Damn ang ganda ng SRO ngayon. Guest speakers really made sense abt the upcoming election.

Takeaways are:
• Kahit saan mo si Pacquiao ilagay (P/VP) ay mahina siya kasi ang tingin sa kanya ng tao ay tamad. People now look for performance.",['1439949457051639814'],0
"baka ngayon ka lang galit,
baka pag dating ng eleksyon 
500 ka lang?",['1443073014275268608'],1
@vail_vii @nickvillavecer Troll! Sipag ah. ano nagawa nyang  nung senador pa?  Wala din naman ah. Si leni lng pala makatalo sa knya and limang beses na dump yung election case nya yet di matanggap pagkatalo. Boy Recto! Never again!,['1440224101965070337'],1
"@Dwarrior_granny Napadama tayo sa fake news, Joke at Fake War on Drugs, sunod pagpapalusot bilyung droga, CJ Serreno, BBM Election protest, Leila Delima, hamakin ang Diyos, sabay sa likod fake news ang mga kutsabaan sabay ng mga katiwalian, Nasindikato na ang Sambayanang Pilipino! #NakuhaSaJoke",['1436935650201145350'],1
"nmat teacher: ngayong eleksyon, ang dami nang matunog na pangalang tatakbo, sino ang boboto niyo at bakit si leni robredo?

TAMA BEHAVIOOOOOOOOR",['1436981371424051201'],0
"@ran_dmx Okay. So pag si bbm ang winner, next election,pwedeng irewrites ang istorya?",['1441298447919980544'],1
mizmam leni gurl sumugod ka na bukas sa comelec please,['1439551598141710339'],0
